RK,FIRST,LAST,WAR,RA,RAR,WAA,WAAWP,ORPG,BIP,PPF
1,Zack,Greinke,9.3,43,78.2,7.5,0.7,2.3,0.1,95
2,Jake,Arrieta,8.6,52,73.1,6.7,0.7,2.6,0.1,99
3,Clayton,Kershaw,7.5,62,65,5.6,0.7,2.8,0.1,95
4,Dallas,Keuchel,7.2,68,67.5,5.1,0.7,3,0.2,100
5,Max,Scherzer,7,74,61,5.1,0.7,2.9,0.1,102
6,David,Price,6,70,57.2,3.9,1.3,6.4,0.1,196
7,Sonny,Gray,5.8,71,55.2,3.8,0.6,3.2,0.1,100
8,John,Lackey,5.6,71,49.9,3.8,0.6,3.2,0.2,100
9,Madison,Bumgarner,4.9,73,44,3.1,0.6,3.4,0.1,96
10,Jacob,deGrom,4.7,59,42.5,3.2,0.6,3.3,0.1,94
11,Gerrit,Cole,4.5,71,41.1,2.9,0.6,3.5,0.1,98
12,Cole,Hamels,4.4,88,42,2.6,1.2,7.1,0.1,206
 ,Felix,Hernandez,4.4,80,43.8,2.6,0.6,3.6,0.1,94
14,Matt,Harvey,4.3,62,38.9,2.8,0.6,3.4,0.1,94
 ,Chris,Archer,4.3,85,43.1,2.3,0.6,3.7,0.1,98
16,Corey,Kluber,4.2,92,43.1,2.2,0.6,3.7,0.1,106
17,Yovani,Gallardo,4.1,76,41,2.4,0.6,3.7,0.1,105
18,Jose,Quintana,4,81,40.4,2.1,0.6,3.7,0.1,97
19,Johnny,Cueto,3.9,87,36.2,2.1,1.1,7.7,0.1,204
 ,Jaime,Garcia,3.9,37,34,2.8,0.6,3,0.1,100
 ,Carlos,Martinez,3.9,65,35.1,2.4,0.6,3.5,0.1,100
22,Wei-Yin,Chen,3.8,78,38.8,2.1,0.6,3.7,0.1,103
 ,Carlos,Carrasco,3.8,75,38.2,2.1,0.6,3.7,0.1,106
 ,Dellin,Betances,3.8,17,30.3,2.3,0.5,4,0,99
25,Shelby,Miller,3.6,82,33.7,2,0.6,3.7,0.1,96
 ,Marco,Estrada,3.6,67,36.5,1.9,0.6,3.8,0.1,98
27,Jake,Odorizzi,3.5,65,35.5,2,0.6,3.7,0.1,98
28,Wade,Davis,3.4,8,27.7,2.3,0.5,4,0,103
 ,Lance,Lynn,3.4,66,31.3,2,0.6,3.7,0.1,100
 ,Jordan,Zimmermann,3.4,89,31.3,1.7,0.6,3.8,0.1,102
31,Scott,Kazmir,3.3,77,32.5,1.6,1.1,8,0.1,200
 ,Chris,Sale,3.3,88,34.6,1.4,0.5,3.9,0.1,97
 ,Danny,Salazar,3.3,79,33.7,1.6,0.6,3.8,0.1,106
34,Kyle,Gibson,3.2,88,33.7,1.4,0.5,3.9,0.1,103
35,Tyson,Ross,3.1,78,28.9,1.5,0.5,3.8,0.1,93
 ,Masahiro,Tanaka,3.1,66,31.1,1.7,0.6,3.7,0.1,99
 ,Collin,McHugh,3.1,89,32.5,1.2,0.5,4,0.1,100
38,J.A.,Happ,3,71,28.6,1.5,1.2,7.3,0.1,192
39,Jon,Lester,2.9,83,27.7,1.3,0.5,3.9,0.1,99
 ,Mike,Leake,2.9,80,26.9,1.3,1.1,7.8,0.1,197
 ,Michael,Wacha,2.9,74,26.8,1.4,0.5,3.8,0.1,100
42,Jorge,De La Rosa,2.8,73,26.2,1.6,0.6,3.7,0.1,119
 ,Darren,O'Day,2.8,13,24.3,1.9,0.5,4,0,103
 ,Adam,Warren,2.8,51,28.6,1.6,0.5,4,0.1,99
 ,Francisco,Liriano,2.8,75,25.9,1.2,0.5,3.9,0.1,98
46,A.J.,Burnett,2.7,64,25.3,1.4,0.6,3.7,0.1,98
 ,Aroldis,Chapman,2.7,13,21.1,1.8,0.5,4,0,101
 ,Clay,Buchholz,2.7,48,26.6,1.7,0.6,3.5,0.1,107
 ,Jeurys,Familia,2.7,16,21.3,1.7,0.5,4,0,94
 ,Gio,Gonzalez,2.7,79,25,1.2,0.5,3.9,0.1,10
51,Trevor,Rosenthal,2.6,16,18.9,1.5,0.5,4,0,100
52,Chad,Bettis,2.6,56,23.3,1.6,0.6,3.5,0.1,119
 ,Ubaldo,Jimenez,2.6,89,27.4,0.9,0.5,4.1,0.1,103
54,Wade,Miley,2.5,98,27.2,0.7,0.5,4.1,0.1,107
 ,Tony,Watson,2.5,17,19.7,1.5,0.5,4,0,98
 ,Eduardo,Rodriguez,2.5,55,25.1,1.4,0.6,3.7,0.1,107
 ,Chris,Young,2.5,44,25.8,1.4,0.5,3.9,0.1,103
 ,Zack,Britton,2.5,16,21.4,1.6,0.5,4.1,0,103
 ,Edinson,Volquez,2.5,89,27.1,0.6,0.5,4.1,0.1,103
60,Cody,Anderson,2.4,32,23.6,1.6,0.6,3.4,0.1,106
 ,Hisashi,Iwakuma,2.4,53,24.8,1.2,0.6,3.8,0.1,94
 ,Alex,Wood,2.4,86,22.6,0.9,1,8.2,0.1,191
 ,Lance,McCullers Jr.,2.4,49,24.4,1.2,0.6,3.8,0.1,100
64,R.A.,Dickey,2.3,97,26.1,0.4,0.5,4.2,0.2,98
 ,Carson,Smith,2.3,19,19.7,1.3,0.5,4.1,0,94
 ,Andrew,Miller,2.3,16,19.1,1.4,0.5,4.1,0,99
 ,Nathan,Eovaldi,2.3,72,24.2,0.9,0.5,4,0.1,99
 ,Dan,Haren,2.3,79,21.3,0.7,1,8.2,0.1,198
69,Will,Harris,2.2,18,19.9,1.4,0.5,4.1,0,100
 ,Mike,Fiers,2.2,83,22.2,0.7,1.1,8,0.1,202
 ,Nate,Karns,2.2,62,23,0.8,0.5,4,0.1,98
 ,Justin,Verlander,2.2,56,22.5,0.9,0.5,3.9,0.1,98
73,Hector,Rondon,2.1,19,16.2,1.2,0.5,4.1,0,99
 ,Brad,Ziegler,2.1,17,17,1.3,0.5,4,0,104
 ,Noah,Syndergaard,2.1,60,19.9,0.9,0.5,3.9,0.1,94
 ,Erasmo,Ramirez,2.1,73,22.6,0.6,0.5,4.1,0.1,98
 ,Kevin,Siegrist,2.1,20,17.7,1.3,0.5,4.1,0,100
 ,AJ,Ramos,2.1,18,16.4,1.2,0.5,4.1,0,99
79,Kevin,Jepsen,2,20,18.1,1.2,1,8.3,0,201
 ,Brad,Brach,2,25,20.5,1.3,0.5,4.1,0,103
 ,Stephen,Strasburg,2,56,18.6,1,0.5,3.9,0.1,102
 ,Luis,Severino,2,21,18.4,1.4,0.6,3.2,0,99
83,Josh,Tomlin,1.9,22,18.2,1.3,0.6,3.2,0,106
 ,Yordano,Ventura,1.9,75,21.2,0.4,0.5,4.2,0.1,103
 ,Ken,Giles,1.9,23,16.6,1.2,0.5,4.1,0,101
 ,Mark,Melancon,1.9,22,15.2,1,0.5,4.1,0,98
 ,Aaron,Nola,1.9,31,16.9,1.2,0.6,3.4,0.1,101
 ,Jerad,Eickhoff,1.9,16,15.9,1.4,0.7,2.7,0,101
89,Joaquin,Benoit,1.8,17,15.4,1.1,0.5,4.1,0,93
 ,James,Shields,1.8,93,17.9,0.2,0.5,4.2,0.1,93
 ,Phil,Hughes,1.8,76,20.1,0.4,0.5,4.2,0.1,103
 ,Michael,Pineda,1.8,83,20,0.3,0.5,4.2,0.1,99
 ,Garrett,Richards,1.8,94,20.9,-0.1,0.5,4.3,0.1,93
 ,Shawn,Tolleson,1.8,25,16.2,0.9,0.5,4.2,0,105
 ,Keone,Kela,1.8,18,16.2,1.1,0.5,4.2,0,105
 ,Hector,Santiago,1.8,80,20.1,0.1,0.5,4.3,0.1,93
 ,Francisco,Rodriguez,1.8,15,14.9,1.1,0.5,4,0,102
98,Tony,Sipp,1.7,13,16.5,1.2,0.5,4.1,0,100
 ,Kyle,Hendricks,1.7,82,16.6,0.3,0.5,4.1,0.1,99
 ,Joakim,Soria,1.7,20,15,0.9,1,8.3,0,196
 ,Jeff,Manship,1.7,4,18.3,1.6,0.5,3.9,0,106
102,Andrew,Heaney,1.7,41,17.8,0.7,0.5,3.9,0.1,93
 ,Ryan,Madson,1.7,17,16.3,1,0.5,4.2,0,103
 ,Aaron,Sanchez,1.7,35,17.5,0.8,0.5,4.1,0.1,98
 ,Alex,Wilson,1.7,19,17.9,1.1,0.5,4.1,0,98
 ,Roberto,Osuna,1.7,21,15.7,0.9,0.5,4.2,0,98
 ,Robbie,Ray,1.7,56,15.7,0.6,0.5,4,0.1,104
 ,Jason,Hammel,1.7,79,15.9,0.3,0.5,4.1,0.1,99
109,Tyler,Duffey,1.6,20,15.7,1.1,0.6,3.3,0,103
 ,Rich,Hill,1.6,5,13.9,1.4,0.8,1.6,0,107
 ,Andrew,Chafin,1.6,23,14.6,1,0.5,4.1,0,104
 ,George,Kontos,1.6,20,15.7,1.1,0.5,4.1,0.1,96
 ,Drew,Smyly,1.6,24,15.8,1,0.6,3.6,0,98
 ,Ervin,Santana,1.6,50,17,0.6,0.5,4,0.1,103
 ,Carlos,Rodon,1.6,63,17.5,0.3,0.5,4.2,0.1,97
 ,J.P.,Howell,1.6,9,13.5,1.1,0.5,4.1,0,95
 ,Mark,Lowe,1.6,15,15,1,1,8.4,0,192
 ,Brett,Anderson,1.6,82,15.1,0.1,0.5,4.2,0.1,95
 ,Jesse,Chavez,1.6,78,17.7,0.1,0.5,4.3,0.1,100
120,Taylor,Jungmann,1.5,55,14.5,0.6,0.5,4,0.1,102
 ,Julio,Teheran,1.5,99,15,-0.1,0.5,4.2,0.1,96
 ,Trevor,May,1.5,53,16.7,0.5,0.5,4.2,0.1,103
 ,Trevor,Bauer,1.5,90,17.8,-0.1,0.5,4.3,0.1,106
 ,Jose,Fernandez,1.5,21,13.8,1,0.6,3.4,0,99
 ,Sam,Dyson,1.5,26,13.9,0.8,1,8.3,0,204
 ,Jeremy,Jeffress,1.5,22,13.5,0.9,0.5,4.1,0,102
 ,Jake,Peavy,1.5,45,14,0.6,0.5,3.9,0.1,96
 ,Chris,Heston,1.5,82,14.4,0,0.5,4.2,0.1,96
 ,Justin,Wilson,1.5,21,13.8,0.8,0.5,4.2,0,99
 ,Danny,Duffy,1.5,64,16.4,0.2,0.5,4.2,0.1,103
131,Kenley,Jansen,1.4,14,11.8,0.8,0.5,4.1,0,95
 ,Matt,Albers,1.4,6,13.9,1.1,0.5,4,0,97
 ,Tommy,Milone,1.4,64,15.7,0.2,0.5,4.2,0.1,103
 ,Jimmy,Nelson,1.4,89,13.7,-0,0.5,4.2,0.1,102
 ,Javier,Lopez,1.4,8,12.1,1,0.5,4.1,0,96
 ,Jonathan,Papelbon,1.4,22,12.8,0.9,1,8.3,0,203
 ,Scott,Feldman,1.4,49,15,0.4,0.5,4.1,0.1,100
 ,Mike,Pelfrey,1.4,86,16.1,-0.1,0.5,4.3,0.1,103
 ,Kelvin,Herrera,1.4,23,13.9,0.7,0.5,4.2,0,103
 ,Vidal,Nuno,1.4,38,14.1,0.6,1.1,7.5,0.1,198
 ,Hunter,Strickland,1.4,14,11.5,0.8,0.5,4.1,0,96
 ,Jeanmar,Gomez,1.3,28,14.4,0.9,0.5,4.1,0.1,101
 ,Joe,Ross,1.3,33,12.5,0.7,0.5,3.8,0.1,102
 ,Carter,Capps,1.3,5,10.8,0.9,0.5,3.9,0,99
 ,Kevin,Gausman,1.3,56,14.5,0.3,0.5,4.2,0.1,103
 ,Anthony,DeSclafani,1.3,93,12.9,-0.2,0.5,4.3,0.1,101
 ,Blaine,Boyer,1.3,24,13.3,0.7,0.5,4.2,0,103
 ,Craig,Kimbrel,1.3,19,10.2,0.6,0.5,4.1,0,93
 ,Koji,Uehara,1.3,14,10.5,0.7,0.5,4.2,0,107
 ,Patrick,Corbin,1.3,34,11.9,0.6,0.5,3.9,0.1,104
 ,Jared,Hughes,1.3,21,11.9,0.7,0.5,4.1,0.1,98
 ,Marcus,Stroman,1.3,5,11.1,1,0.8,2.3,0,98
 ,Tyler,Clippard,1.2,25,11.7,0.6,1,8.4,0,194
 ,Arodys,Vizcaino,1.2,7,10.3,0.9,0.5,4,0,96
 ,Cody,Allen,1.2,26,12.5,0.6,0.5,4.2,0,106
 ,Xavier,Cedeno,1.2,13,11.9,0.8,1,8.5,0,200
 ,Chris,Bassitt,1.2,36,13.3,0.5,0.5,4.1,0.1,100
 ,Joe,Blanton,1.2,26,13.8,0.8,1,8.2,0,201
 ,Glen,Perkins,1.2,21,11,0.5,0.5,4.2,0,103
 ,Mike,Bolsinger,1.2,49,11.4,0.3,0.5,4.1,0.1,95
 ,C.J.,Wilson,1.2,59,13.7,-0,0.5,4.3,0.1,93
 ,Kendall,Graveman,1.2,57,13.4,0.1,0.5,4.3,0.1,100
 ,Chasen,Shreve,1.2,21,12.2,0.7,0.5,4.2,0,99
 ,Steven,Matz,1.2,9,10.2,0.9,0.6,3,0,94
 ,Bryan,Shaw,1.2,24,12,0.6,0.5,4.2,0,106
 ,Felipe,Vazquez,1.2,15,11.1,0.8,0.5,4.1,0,102
167,Matt,Thornton,1.1,12,10.1,0.8,0.5,4.1,0,102
 ,Brett,Cecil,1.1,17,11.6,0.6,0.5,4.2,0,98
 ,Taijuan,Walker,1.1,92,13.8,-0.4,0.5,4.5,0.1,94
 ,Santiago,Casilla,1.1,19,9.5,0.5,0.5,4.1,0,96
 ,Pedro,Strop,1.1,24,9.9,0.5,0.5,4.2,0,99
 ,Michael,Blazek,1.1,17,12.5,0.9,0.5,4,0,102
 ,Sean,Gilmartin,1.1,17,11.7,0.8,0.5,4.1,0,94
 ,Dalier,Hinojosa,1.1,3,11.1,1,1.2,7.2,0,208
 ,CC,Sabathia,1.1,92,13.3,-0.5,0.5,4.5,0.1,99
 ,Tom,Wilhelmsen,1.1,24,11.1,0.5,0.5,4.2,0,94
 ,Yohan,Flande,1.1,36,10.1,0.5,0.5,4,0.1,119
 ,Will,Smith,1.1,23,10.1,0.6,0.5,4.2,0,102
 ,Joe,Kelly,1.1,76,12.4,-0.2,0.5,4.4,0.1,107
180,Jesse,Hahn,1,46,11.6,0.1,0.5,4.2,0.1,100
 ,Jake,McGee,1,11,9,0.5,0.5,4.2,0,98
 ,Brian,Matusz,1,18,11.1,0.6,0.5,4.2,0,103
 ,Luis,Garcia,1,28,10.2,0.5,0.5,4.2,0,101
 ,Bartolo,Colon,1,94,10.2,-0.6,0.5,4.4,0.2,94
 ,Josh,Collmenter,1,53,10.6,0.1,0.5,4.2,0.1,104
 ,Nick,Martinez,1,66,12,-0.1,0.5,4.4,0.1,105
 ,Colby,Lewis,1,114,13.2,-0.9,0.5,4.6,0.1,105
 ,J.J.,Hoover,1,24,9.5,0.5,0.5,4.2,0,101
 ,Raisel,Iglesias,1,45,9.4,0.2,0.5,4.1,0.1,101
 ,Mychal,Givens,1,7,10.2,0.8,0.5,4,0,103
 ,Sam,Freeman,1,13,10.1,0.6,0.5,4.2,0,105
 ,Adam,Morgan,1,45,9.3,0.3,0.5,4,0.1,101
 ,Jason,Frasor,1,5,9.6,0.7,1.1,8,0,199
 ,Casey,Fien,1,26,10.6,0.4,0.5,4.2,0,103
 ,Mark,Buehrle,1,100,12.8,-0.9,0.5,4.6,0.2,98
 ,Zach,McAllister,1,28,11.2,0.4,0.5,4.2,0,106
197,Roenis,Elias,0.9,57,11.1,-0.1,0.5,4.4,0.1,94
 ,Antonio,Bastardo,0.9,19,9.6,0.6,0.5,4.1,0,98
 ,Chi Chi,Gonzalez,0.9,33,10,0.3,0.5,4.1,0,105
 ,Huston,Street,0.9,22,9.4,0.3,0.5,4.3,0,932