SF,NL,Aoki,Norichika,Panik,Joe,Pagan,Angel,Posey,Buster,Belt,Brandon,McGehee,Casey,Crawford,Brandon,Blanco,Gregor,Spot,Pitchers
ARI,NL,Pollock,A.J.,Inciarte,Ender,Goldschmidt,Paul,Trumbo,Mark,Hill,Aaron,Owings,Chris,Gosewisch,Tuffy,Ahmed,Nick,Spot,Pitchers
SD,NL,Myers,Wil,Norris,Derek,Kemp,Matt,Upton,Justin,Middlebrooks,Will,Gyorko,Jedd,Alonso,Yonder,Barmes,Clint,Spot,Pitchers
LAD,NL,Rollins,Jimmy,Puig,Yasiel,Gonzalez,Adrian,Kendrick,Howie,Crawford,Carl,Uribe,Juan,Pederson,Joc,Ellis,A.J.,Spot,Pitchers
COL,NL,Blackmon,Charlie,Gonzalez,Carlos,Tulowitzki,Troy,Morneau,Justin,Arenado,Nolan,Dickerson,Corey,Hundley,Nick,LeMahieu,DJ,Spot,Pitchers
MIL,NL,Gomez,Carlos,Lucroy,Jonathan,Braun,Ryan,Ramirez,Aramis,Lind,Adam,Davis,Khris,Gennett,Scooter,Segura,Jean,Spot,Pitchers
CHI,NL,Fowler,Dexter,Soler,Jorge,Rizzo,Anthony,Castro,Starlin,Coghlan,Chris,Olt,Mike,Ross,David,Spot,Pitchers,LaStella,Tommy
CIN,NL,Hamilton,Billy,Votto,Joey,Frazier,Todd,Mesoraco,Devin,Byrd,Marlon,Bruce,Jay,Phillips,Brandon,Cozart,Zack,Spot,Pitchers
STL,NL,Carpenter,Matt,Heyward,Jason,Holliday,Matt,Peralta,Jhonny,Adams,Matt,Molina,Yadier,Wong,Kolten,Jay,Jon,Spot,Pitchers
PIT,NL,Harrison,Josh,Polanco,Gregory,McCutchen,Andrew,Walker,Neil,Marte,Starling,Alvarez,Pedro,Cervelli,Francisco,Mercer,Jordy,Spot,Pitchers
NYM,NL,Granderson,Curtis,Wright,David,Duda,Lucas,Cuddyer,Michael,Murphy,Daniel,Lagares,Juan,d'Arnaud,Travis,Flores,Wilmer,Spot,Pitchers
ATL,NL,Young,Eric,Peterson,Jace,Markakis,Nick,Freeman,Freddie,Bethancourt,Christian,Johnson,Kelly,Callaspo,Alberto,Simmons,Andrelton,Spot,Pitchers
WAS,NL,Taylor,Michael,Escobar,Yunel,Harper,Bryce,Zimmerman,Ryan,Ramos,Wilson,Desmond,Ian,Uggla,Dan,Moore,Tyler,Spot,Pitchers
MIA,NL,Gordon,Dee,Yelich,Christian,Stanton,Giancarlo,Morse,Michael,Prado,Martin,Ozuna,Marcell,Saltalamacchia,Jarrod,Hechavarria,Adeiny,Spot,Pitchers
PHI,NL,Revere,Ben,Herrera,Odubel,Utley,Chase,Howard,Ryan,Ruiz,Carlos,Sizemore,Grady,Asche,Cody,Galvis,Freddy,Spot,Pitchers
OAK,AL,Gentry,Craig,Fuld,Sam,Zobrist,Ben,Butler,Billy,Davis,Ike,Lawrie,Brett,Vogt,Stephen,Semien,Marcus,Sogard,Eric
LAA,AL,Calhoun,Kole,Trout,Mike,Pujols,Albert,Joyce,Matt,Freese,David,Aybar,Erick,Cron,C.J.,Iannetta,Chris,Giavotella,Johnny
HOU,AL,Altuve,Jose,Springer,George,Valbuena,Luis,Gattis,Evan,Carter,Chris,Castro,Jason,Lowrie,Jed,Rasmus,Colby,Marisnick,Jake
SEA,AL,Jackson,Austin,Smith,Seth,Cano,Robinson,Cruz,Nelson,Seager,Kyle,Morrison,Logan,Zunino,Mike,Ackley,Dustin,Miller,Brad
TEX,AL,Martin,Leonys,Andrus,Elvis,Fielder,Prince,Beltre,Adrian,Choo,Shin-Soo,Rua,Ryan,Moreland,Mitch,Chirinos,Robinson,Odor,Rougned
CWS,AL,Eaton,Adam,Cabrera,Melky,Abreu,Jose,LaRoche,Adam,Garcia,Avisail,Ramirez,Alexei,Gillaspie,Conor,Flowers,Tyler,Johnson,Micah
CLE,AL,Bourn,Michael,Kipnis,Jason,Brantley,Michael,Santana,Carlos,Gomes,Yan,Moss,Brandon,Raburn,Ryan,Chisenhall,Lonnie,Ramirez,Jose
DET,AL,Davis,Rajai,Kinsler,Ian,Cabrera,Miguel,Martinez,Victor,Martinez,J.D.,Cespedes,Yoenis,Castellanos,Nick,Avila,Alex,Iglesias,Jose
KC,AL,Escobar,Alcides,Moustakas,Mike,Cain,Lorenzo,Hosmer,Eric,Morales,Kendrys,Gordon,Alex,Rios,Alex,Perez,Salvador,Infante,Omar
MIN,AL,Santana,Danny,Dozier,Brian,Mauer,Joe,Hunter,Torii,Vargas,Kennys,Plouffe,Trevor,Arcia,Oswaldo,Suzuki,Kurt,Schafer,Jordan
NYY,AL,Ellsbury,Jacoby,Gardner,Brett,Beltran,Carlos,Teixeira,Mark,McCann,Brian,Headley,Chase,Rodriguez,Alex,Drew,Stephen,Gregorius,Didi
BAL,AL,Cabrera,Everth,Pearce,Steve,Jones,Adam,Davis,Chris,Young,Delmon,Machado,Manny,Snider,Travis,Schoop,Jonathan,Joseph,Caleb
TOR,AL,Reyes,Jose,Martin,Russell,Bautista,Jose,Encarnacion,Edwin,Donaldson,Josh,Navarro,Dioner,Pompey,Dalton,Pillar,Kevin,Travis,Devon
BOS,AL,Betts,Mookie,Pedroia,Dustin,Ortiz,David,Ramirez,Hanley,Sandoval,Pablo,Napoli,Mike,Nava,Daniel,Bogaerts,Xander,Leon,Sandy
TB,AL,Jaso,John,Souza,Steven,Cabrera,Asdrubal,Longoria,Evan,Loney,James,Jennings,Desmond,Rivera,Rene,Forsythe,Logan,Kiermaier,Kevin